time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,social_worker_fte,leaver_fte,turnover_rate_fte_%,working_days_lost_fte,absence_rate_fte_%,agency_fte,agency_worker_rate_fte_%,agency_cover_fte,agency_cover_rate_fte_%,vacancy_fte,vacancy_rate_fte_%,vacancy_agency_cover_rate_fte_%,case_holders_fte,cases,caseload_fte,social_worker_headcount,leaver_headcount,turnover_rate_headcount_%,agency_headcount,agency_worker_rate_headcount_%
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,336,55.7,16.6,3230.2,3.8,210.1,38.5,119.1,56.7,296,46.8,40.2,326.9,5813,17.8,361,64,17.7,212,37
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,148.4,21.5,14.5,1220.3,3.3,14,8.6,12,85.7,15.8,9.6,75.9,71.6,912,12.7,159,25,15.7,14,8.1
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,190.9,30.8,16.1,1826,3.8,37,16.2,31,83.8,41.7,17.9,74.4,110.9,1974,17.8,202,35,17.3,38,15.8
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,150.9,26.2,17.4,1728,4.5,13.8,8.4,13.8,100,24.5,14,56.3,91.2,1751,19.2,172,29,16.9,14,7.5
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",297.2,40.3,13.6,3590,4.8,56.3,15.9,35.2,62.5,35.2,10.6,100,205.8,3681,17.9,326,44,13.5,60,15.5
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,281.7,30.8,10.9,2572.3,3.6,0,0,0,0,19,6.3,0,130.8,2087,16,300,35,11.7,0,0
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,647.9,65.4,10.1,5327.9,3.3,0,0,0,0,35,5.1,0,299.2,4822,16.1,712,72,10.1,0,0
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,92.3,19,20.6,801,3.4,54,36.9,54,100,54,36.9,100,84.4,1687,20,97,20,20.6,54,35.8
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,115.4,10,8.7,944,3.2,3.6,3,1,27.8,5,4.2,20,44.5,735,16.5,122,10,8.2,4,3.2
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,281.9,49.1,17.4,1788,2.5,0,0,0,0,7,2.4,0,134.6,2072,15.4,319,56,17.6,0,0
