2023 Upper tier local authorities Code,2023 Upper tier local authorities,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E06000004,Stockton-on-Tees,10,Mixed or Multiple ethnic groups: White and Black African,469
E06000004,Stockton-on-Tees,11,Mixed or Multiple ethnic groups: White and Black Caribbean,412
E06000004,Stockton-on-Tees,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,725
E06000004,Stockton-on-Tees,13,"White: English, Welsh, Scottish, Northern Irish or British",177526
E06000004,Stockton-on-Tees,14,White: Irish,528
E06000004,Stockton-on-Tees,15,White: Gypsy or Irish Traveller,145
E06000004,Stockton-on-Tees,16,White: Roma,143
E06000004,Stockton-on-Tees,17,White: Other White,2595
E06000004,Stockton-on-Tees,18,Other ethnic group: Arab,558
E06000004,Stockton-on-Tees,19,Other ethnic group: Any other ethnic group,1106
E06000005,Darlington,-8,Does not apply,0
E06000005,Darlington,1,"Asian, Asian British or Asian Welsh: Bangladeshi",759
E06000005,Darlington,2,"Asian, Asian British or Asian Welsh: Chinese",308
E06000005,Darlington,3,"Asian, Asian British or Asian Welsh: Indian",1086
E06000005,Darlington,4,"Asian, Asian British or Asian Welsh: Pakistani",195
E06000005,Darlington,5,"Asian, Asian British or Asian Welsh: Other Asian",618
E06000005,Darlington,6,"Black, Black British, Black Welsh, Caribbean or African: African",456
E06000005,Darlington,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",135
E06000005,Darlington,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",110
E06000005,Darlington,9,Mixed or Multiple ethnic groups: White and Asian,516
E06000005,Darlington,10,Mixed or Multiple ethnic groups: White and Black African,198
E06000005,Darlington,11,Mixed or Multiple ethnic groups: White and Black Caribbean,384
E06000005,Darlington,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,374
E06000005,Darlington,13,"White: English, Welsh, Scottish, Northern Irish or British",97320
E06000005,Darlington,14,White: Irish,342
E06000005,Darlington,15,White: Gypsy or Irish Traveller,434
E06000005,Darlington,16,White: Roma,104
E06000005,Darlington,17,White: Other White,3525
E06000005,Darlington,18,Other ethnic group: Arab,329
E06000005,Darlington,19,Other ethnic group: Any other ethnic group,603
E06000006,Halton,-8,Does not apply,0
E06000006,Halton,1,"Asian, Asian British or Asian Welsh: Bangladeshi",58
E06000006,Halton,2,"Asian, Asian British or Asian Welsh: Chinese",418
E06000006,Halton,3,"Asian, Asian British or Asian Welsh: Indian",375
E06000006,Halton,4,"Asian, Asian British or Asian Welsh: Pakistani",125
