time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,inpost_fte,inpost_headcount,starters_fte,starters_headcount,leavers_fte,leavers_headcount,turnover_rate_fte,turnover_rate_headcount,agency_fte,agency_headcount,agency_rate_fte,agency_rate_headcount,agency_cover_fte,agency_cover_rate_fte,vacancy_fte,vacancy_rate_fte,vacancy_agency_cover_rate_fte,case_holders_fte,cases,caseload_fte,working_days_lost_fte,absence_rate_fte
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,167,185,29.6,32,18.1,20,10.8,10.8,5,5,2.9,2.6,6,120,12,6.7,50,98.5,1492,15.2,1603,3.8
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,229.8,239,33.3,34,45.1,46,19.6,19.2,20,20,8,7.7,5,25,15,6.1,33.3,170.6,2106,12.3,2124.5,3.7
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,396.5,432,65.9,71,79.3,97,20,22.5,58.8,60,12.9,12.2,44,74.8,46,10.4,95.7,178.7,2886,16.1,3347.9,3.3
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,212.3,224,26,26,32.2,34,15.2,15.2,25,25,10.5,10,19,76,19.4,8.4,97.9,113.5,1579,13.9,3007.3,5.6
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,270.7,288,36.8,38,41.2,44,15.2,15.3,33,33,10.9,10.3,30,90.9,49,15.3,61.2,184.9,3040,16.4,2070,3
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,91.2,97,15.6,16,18.6,19,20.4,19.6,35,35,27.7,26.5,35,100,35,27.7,100,78.4,1321,16.8,717.7,3.1
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,211.2,229,28,34,33.1,39,15.7,17,73.5,82,25.8,26.4,73.5,100,89.5,29.8,82.1,124.7,1968,15.8,300,0.6
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,153.9,162,33.1,34,33,33,21.4,20.4,26.4,31,14.6,16.1,26.4,100,35.4,18.7,74.4,106,1590,15,743.5,1.9
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,895.9,938,139,143,142.2,148,15.9,15.8,19.7,20,2.2,2.1,19.7,100,59,6.2,33.4,423.1,5703,13.5,4910.1,2.2
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,524,551,74.6,76,66.4,70,12.7,12.7,54.9,56,9.5,9.2,54.9,100,67,11.3,81.9,267.9,3662,13.7,3408.8,2.6
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,140.4,148,47.9,48,39.7,41,28.3,27.7,71,71,33.6,32.4,71,100,86,38,82.6,96.6,1427,14.8,306,0.9
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,441.4,477,75.4,79,70.1,75,15.9,15.7,36.8,41,7.7,7.9,25.8,70.1,28,6,92.1,206.5,3626,17.6,2854.5,2.6
