filename,status
data/la_maintained_schools_revenue_reserve_final.csv,published
data/date_format.csv,published
data/date_format.meta.csv,published
data/some_unpublished_data.csv,unpublished
data/definitions.csv,unpublished
data/csww_headline_measures_2017_to_2022.csv,published
data/csww_workforce_characteristics_2017_to_2022.csv,published
data/csww_workforce_role_by_ethnicity_2019_to_2022.csv,published
data/ons-ethnic-population-la.csv,published
data/ons-ethnic-population-reg.csv,published
data/ons-ethnic-population-nat.csv,published
data/la_cla_during_year_new_placements.csv,published
data/cla_number_and_rate_per_10k_children.csv,published
data/la_children_who_started_to_be_looked_after_during_the_year.csv,published
data/b1_children_in_need_2013_to_2023.csv,published
data/c1_children_in_need_referrals_and_rereferrals_2013_to_2023.csv,published
